input_text,reply_text
switch off the tv,Done! Turning off the tv 🔌
turn off the door,Done! Turning off the door 🔌
enable the coffee maker,Got it! Powering down the coffee maker 📷
switch on the lamp,Sure thing! Turning on the lamp 💡
initiate the freezer,Got it! Powering down the freezer 📺
turn on the robot vacuum,"Okay, powering up the robot vacuum!"
enable the camera,Got it! Powering down the camera 🌤️
stop the hydroponic pump,Done! Turning off the hydroponic pump 🔌
turn on the washing machine,Got it! Activating your washing machine 🧺
start the tv,"Okay, tv is now off."
turn off the projector,"Deactivating the projector, all set."
disable the alarm,"Deactivating the alarm, all set."
power on the oven,Got it! Activating your oven 📷
stop the curtain,Done! Turning off the curtain 🔌
boot up the alarm,Got it! Powering down the alarm ☕
stop the microwave,Got it! Powering down the microwave 😄
power on the freezer,Sure thing! Turning on the freezer 💡
enable the dishwasher,"Deactivating the dishwasher, all set."
turn off the garage door,Garage door turned off successfully!
deactivate the washing machine,Got it! Powering down the washing machine 📷
deactivate the microwave,"Deactivating the microwave, all set."
turn off the washing machine,Done! Turning off the washing machine 🔌
power on the hydroponic pump,Got it! Activating your hydroponic pump 🌱
disable the oven,"Deactivating the oven, all set."
stop the heater,Heater turned off successfully!
activate the rice cooker,"Okay, rice cooker is now off."
turn off the window,Done! Turning off the window 🔌
stop the freezer,"Okay, freezer is now off."
switch on the fan,Starting the fan as you wish ☕
shutdown the water motor,"Okay, water motor is now off."
switch on the air conditioner,Starting the air conditioner as you wish ☕
stop the garage door,Got it! Powering down the garage door 😄
power down the lamp,Done! Turning off the lamp 🔌
deactivate the door,Door turned off successfully!
power on the washing machine,Got it! Activating your washing machine 😊
turn on the rice cooker,"Okay, powering up the rice cooker!"
start the air purifier,"Deactivating the air purifier, all set."
power on the robot vacuum,Sure thing! Turning on the robot vacuum 💡
power on the garage door,"Alright, garage door is now on 👍"
switch off the hydroponic pump,Got it! Powering down the hydroponic pump 🔊
shutdown the router,Done! Turning off the router 🔌
switch off the speaker,Got it! Powering down the speaker 👍
power down the window,Done! Turning off the window 🔌
switch on the water motor,Got it! Activating your water motor ☕
switch off the heater,"Deactivating the heater, all set."
stop the humidifier,"Okay, humidifier is now off."
power on the water motor,Starting the water motor as you wish 🪟
power on the air purifier,Got it! Activating your air purifier 💡
stop the oven,Got it! Powering down the oven 🌤️
disable the dishwasher,"Deactivating the dishwasher, all set."
switch off the speaker,Got it! Powering down the speaker 🔊
boot up the curtain,"Okay, curtain is now off."
shutdown the humidifier,Done! Turning off the humidifier 🔌
power on the alarm,"Alright, alarm is now on 👍"
enable the hydroponic pump,"Deactivating the hydroponic pump, all set."
deactivate the washing machine,Got it! Powering down the washing machine 📺
enable the alarm,Alarm turned off successfully!
power down the dishwasher,Got it! Powering down the dishwasher 🧺
deactivate the alarm,Done! Turning off the alarm 🔌
turn off the geyser,Got it! Powering down the geyser 👍
boot up the projector,"Deactivating the projector, all set."
shutdown the router,Got it! Powering down the router 😄
initiate the geyser,"Okay, geyser is now off."
power on the microwave,"Alright, microwave is now on 👍"
run the humidifier,"Okay, humidifier is now off."
switch on the hydroponic pump,Starting the hydroponic pump as you wish 🔊
enable the rice cooker,"Deactivating the rice cooker, all set."
boot up the dishwasher,"Okay, dishwasher is now off."
deactivate the oven,"Deactivating the oven, all set."
enable the light,Light turned off successfully!
start the oven,"Okay, oven is now off."
initiate the projector,"Okay, projector is now off."
initiate the door,Door turned off successfully!
switch off the toaster,Toaster turned off successfully!
turn off the microwave,Done! Turning off the microwave 🔌
power on the curtain,Got it! Activating your curtain 🌱
power on the tv,Starting the tv as you wish 🪟
run the door,Door turned off successfully!
shutdown the hydroponic pump,"Okay, hydroponic pump is now off."
run the window,"Deactivating the window, all set."
switch off the rice cooker,"Deactivating the rice cooker, all set."
activate the air purifier,"Deactivating the air purifier, all set."
initiate the geyser,"Okay, geyser is now off."
power down the light,"Deactivating the light, all set."
initiate the speaker,Speaker turned off successfully!
power on the fridge,"Alright, fridge is now on 👍"
boot up the heater,"Okay, heater is now off."
power down the router,Router turned off successfully!
switch off the lamp,"Okay, lamp is now off."
power on the microwave,"Okay, powering up the microwave!"
run the tv,Done! Turning off the tv 🔌
boot up the heater,Got it! Powering down the heater ☕
stop the hydroponic pump,"Okay, hydroponic pump is now off."
switch off the rice cooker,"Deactivating the rice cooker, all set."
stop the water motor,Done! Turning off the water motor 🔌
initiate the humidifier,Done! Turning off the humidifier 🔌
halt the dishwasher,"Deactivating the dishwasher, all set."
activate the hydroponic pump,Hydroponic pump turned off successfully!
halt the heater,Got it! Powering down the heater 🚪
stop the air conditioner,"Deactivating the air conditioner, all set."
stop the lamp,"Deactivating the lamp, all set."
activate the alarm,"Deactivating the alarm, all set."
disable the speaker,Speaker turned off successfully!
switch on the light,"Okay, powering up the light!"
shutdown the hydroponic pump,"Deactivating the hydroponic pump, all set."
activate the garage door,Garage door turned off successfully!
disable the coffee maker,"Deactivating the coffee maker, all set."
deactivate the tv,Got it! Powering down the tv 📷
activate the humidifier,"Deactivating the humidifier, all set."
halt the garage door,"Okay, garage door is now off."
turn on the camera,Sure thing! Turning on the camera 💡
deactivate the humidifier,"Okay, humidifier is now off."
switch off the lamp,Got it! Powering down the lamp 🌤️
shutdown the door,"Okay, door is now off."
switch on the rice cooker,Got it! Activating your rice cooker 📷
power down the geyser,Done! Turning off the geyser 🔌
stop the projector,"Okay, projector is now off."
switch off the projector,"Okay, projector is now off."
initiate the air conditioner,Air conditioner turned off successfully!
turn off the camera,"Deactivating the camera, all set."
run the microwave,"Okay, microwave is now off."
initiate the air purifier,Done! Turning off the air purifier 🔌
power down the alarm,"Deactivating the alarm, all set."
deactivate the microwave,Microwave turned off successfully!
shutdown the coffee maker,Coffee maker turned off successfully!
start the hydroponic pump,Got it! Powering down the hydroponic pump 🚪
activate the washing machine,"Deactivating the washing machine, all set."
turn off the air conditioner,Done! Turning off the air conditioner 🔌
deactivate the washing machine,"Deactivating the washing machine, all set."
disable the oven,Got it! Powering down the oven 🪟
run the oven,Got it! Powering down the oven 💡
start the humidifier,"Okay, humidifier is now off."
halt the hydroponic pump,Got it! Powering down the hydroponic pump 🚪
boot up the water motor,Done! Turning off the water motor 🔌
switch on the dishwasher,Starting the dishwasher as you wish 🌱
power down the tv,"Deactivating the tv, all set."
switch off the washing machine,Got it! Powering down the washing machine 🔥
initiate the air purifier,"Okay, air purifier is now off."
activate the router,Router turned off successfully!
start the tv,"Okay, tv is now off."
turn off the air conditioner,"Deactivating the air conditioner, all set."
shutdown the microwave,Done! Turning off the microwave 🔌
deactivate the door,Got it! Powering down the door 📺
deactivate the hydroponic pump,"Okay, hydroponic pump is now off."
switch on the heater,"Okay, powering up the heater!"
power down the light,Done! Turning off the light 🔌
initiate the door,"Okay, door is now off."
enable the rice cooker,Rice cooker turned off successfully!
deactivate the camera,"Deactivating the camera, all set."
deactivate the microwave,Got it! Powering down the microwave 💡
boot up the speaker,Speaker turned off successfully!
activate the hydroponic pump,Done! Turning off the hydroponic pump 🔌
turn off the toaster,"Deactivating the toaster, all set."
enable the humidifier,Got it! Powering down the humidifier 👍
halt the tv,Done! Turning off the tv 🔌
power down the humidifier,Done! Turning off the humidifier 🔌
switch off the coffee maker,Done! Turning off the coffee maker 🔌
power on the geyser,Got it! Activating your geyser 📷
halt the rice cooker,Done! Turning off the rice cooker 🔌
activate the geyser,Geyser turned off successfully!
turn off the rice cooker,Done! Turning off the rice cooker 🔌
deactivate the garage door,"Deactivating the garage door, all set."
start the air purifier,"Deactivating the air purifier, all set."
initiate the robot vacuum,Done! Turning off the robot vacuum 🔌
switch off the heater,"Deactivating the heater, all set."
enable the camera,"Deactivating the camera, all set."
boot up the fan,Got it! Powering down the fan 🔥
turn on the robot vacuum,Got it! Activating your robot vacuum 😄
shutdown the alarm,Got it! Powering down the alarm 📷
boot up the toaster,"Okay, toaster is now off."
shutdown the heater,"Deactivating the heater, all set."
run the air conditioner,Done! Turning off the air conditioner 🔌
switch off the humidifier,Humidifier turned off successfully!
start the toaster,"Deactivating the toaster, all set."
shutdown the heater,Heater turned off successfully!
boot up the router,Done! Turning off the router 🔌
boot up the fan,Got it! Powering down the fan ❄️
disable the projector,Projector turned off successfully!
deactivate the speaker,"Deactivating the speaker, all set."
power on the light,"Alright, light is now on 👍"
enable the dishwasher,"Deactivating the dishwasher, all set."
power on the garage door,"Okay, powering up the garage door!"
switch on the water motor,"Alright, water motor is now on 👍"
shutdown the tv,Done! Turning off the tv 🔌
run the fridge,"Deactivating the fridge, all set."
enable the hydroponic pump,Done! Turning off the hydroponic pump 🔌
disable the window,Done! Turning off the window 🔌
deactivate the humidifier,Humidifier turned off successfully!
switch off the freezer,Got it! Powering down the freezer 🪟
boot up the rice cooker,"Okay, rice cooker is now off."
shutdown the light,Got it! Powering down the light 💡
switch off the heater,"Okay, heater is now off."
switch on the window,Starting the window as you wish 📷
turn off the lamp,Done! Turning off the lamp 🔌
activate the curtain,Curtain turned off successfully!
deactivate the air purifier,Air purifier turned off successfully!
turn off the oven,Done! Turning off the oven 🔌
turn off the window,Window turned off successfully!
power down the lamp,"Deactivating the lamp, all set."
halt the window,Window turned off successfully!
start the air purifier,"Okay, air purifier is now off."
turn on the geyser,Sure thing! Turning on the geyser 💡
run the rice cooker,"Deactivating the rice cooker, all set."
run the speaker,Done! Turning off the speaker 🔌
activate the robot vacuum,Done! Turning off the robot vacuum 🔌
activate the lamp,"Okay, lamp is now off."
deactivate the rice cooker,Rice cooker turned off successfully!
turn on the dishwasher,"Okay, powering up the dishwasher!"
shutdown the lamp,Lamp turned off successfully!
stop the dishwasher,Dishwasher turned off successfully!
initiate the washing machine,"Okay, washing machine is now off."
start the humidifier,Humidifier turned off successfully!
shutdown the coffee maker,Got it! Powering down the coffee maker ❄️
start the air purifier,"Deactivating the air purifier, all set."
start the freezer,Done! Turning off the freezer 🔌
turn on the toaster,Got it! Activating your toaster 📷
turn on the washing machine,Starting the washing machine as you wish 📷
activate the lamp,Done! Turning off the lamp 🔌
initiate the robot vacuum,Done! Turning off the robot vacuum 🔌
turn off the alarm,"Deactivating the alarm, all set."
halt the robot vacuum,Done! Turning off the robot vacuum 🔌
deactivate the geyser,Done! Turning off the geyser 🔌
power down the alarm,Got it! Powering down the alarm ☕
initiate the robot vacuum,Done! Turning off the robot vacuum 🔌
deactivate the air conditioner,"Deactivating the air conditioner, all set."
turn on the water motor,Got it! Activating your water motor 🧺
switch on the lamp,"Okay, powering up the lamp!"
disable the camera,Done! Turning off the camera 🔌
shutdown the freezer,"Deactivating the freezer, all set."
activate the freezer,Done! Turning off the freezer 🔌
deactivate the air conditioner,Got it! Powering down the air conditioner 🪟
disable the coffee maker,Done! Turning off the coffee maker 🔌
switch off the light,Light turned off successfully!
power down the coffee maker,"Okay, coffee maker is now off."
shutdown the coffee maker,"Deactivating the coffee maker, all set."
deactivate the toaster,Toaster turned off successfully!
deactivate the hydroponic pump,"Okay, hydroponic pump is now off."
boot up the router,"Deactivating the router, all set."
turn on the hydroponic pump,Starting the hydroponic pump as you wish ❄️
switch off the projector,Projector turned off successfully!
turn on the hydroponic pump,Got it! Activating your hydroponic pump 📺
boot up the camera,Camera turned off successfully!
shutdown the router,Got it! Powering down the router 🚪
start the fan,Done! Turning off the fan 🔌
halt the tv,Done! Turning off the tv 🔌
turn on the freezer,"Okay, powering up the freezer!"
enable the freezer,Done! Turning off the freezer 🔌
shutdown the lamp,Lamp turned off successfully!
switch on the humidifier,Starting the humidifier as you wish 🌱
initiate the freezer,Done! Turning off the freezer 🔌
stop the heater,Got it! Powering down the heater 🔥
turn on the geyser,Starting the geyser as you wish 🔊
boot up the water motor,"Deactivating the water motor, all set."
enable the fridge,Got it! Powering down the fridge 🔥
boot up the speaker,"Okay, speaker is now off."
enable the garage door,"Deactivating the garage door, all set."
boot up the lamp,"Okay, lamp is now off."
deactivate the light,"Deactivating the light, all set."
enable the heater,Got it! Powering down the heater 🔥
disable the light,"Deactivating the light, all set."
shutdown the camera,"Okay, camera is now off."
power down the curtain,Got it! Powering down the curtain ☕
turn off the heater,Got it! Powering down the heater 📷
boot up the heater,Done! Turning off the heater 🔌
start the projector,"Deactivating the projector, all set."
enable the fan,"Deactivating the fan, all set."
halt the air conditioner,Got it! Powering down the air conditioner 🪟
shutdown the projector,Got it! Powering down the projector 🌤️
turn off the toaster,Done! Turning off the toaster 🔌
power down the freezer,"Okay, freezer is now off."
power down the coffee maker,"Deactivating the coffee maker, all set."
halt the speaker,Got it! Powering down the speaker 🧺
halt the fridge,Done! Turning off the fridge 🔌
boot up the speaker,Speaker turned off successfully!
boot up the oven,"Deactivating the oven, all set."
switch off the lamp,"Okay, lamp is now off."
power on the window,Starting the window as you wish 😄
activate the coffee maker,"Okay, coffee maker is now off."
disable the projector,"Okay, projector is now off."
start the lamp,Done! Turning off the lamp 🔌
switch on the router,Starting the router as you wish 👍
power down the hydroponic pump,Done! Turning off the hydroponic pump 🔌
disable the curtain,Got it! Powering down the curtain 📺
halt the humidifier,Got it! Powering down the humidifier 🔊
activate the router,"Deactivating the router, all set."
disable the air conditioner,"Deactivating the air conditioner, all set."
deactivate the dishwasher,"Deactivating the dishwasher, all set."
turn on the camera,Got it! Activating your camera 🚪
halt the coffee maker,"Deactivating the coffee maker, all set."
deactivate the projector,"Okay, projector is now off."
halt the hydroponic pump,Done! Turning off the hydroponic pump 🔌
boot up the geyser,Got it! Powering down the geyser 😊
initiate the door,"Deactivating the door, all set."
power down the heater,"Okay, heater is now off."
activate the camera,Done! Turning off the camera 🔌
stop the oven,Done! Turning off the oven 🔌
switch off the oven,Oven turned off successfully!
turn off the humidifier,"Deactivating the humidifier, all set."
turn off the alarm,Alarm turned off successfully!
activate the door,Door turned off successfully!
deactivate the fan,"Okay, fan is now off."
switch on the hydroponic pump,Starting the hydroponic pump as you wish 🌱
turn off the washing machine,"Okay, washing machine is now off."
boot up the geyser,Done! Turning off the geyser 🔌
switch off the air conditioner,"Okay, air conditioner is now off."
deactivate the curtain,Got it! Powering down the curtain ❄️
disable the fridge,Got it! Powering down the fridge 😊
initiate the heater,Done! Turning off the heater 🔌
deactivate the geyser,Done! Turning off the geyser 🔌
run the router,"Okay, router is now off."
initiate the washing machine,Got it! Powering down the washing machine 🪟
halt the heater,"Deactivating the heater, all set."
halt the microwave,Microwave turned off successfully!
halt the washing machine,Done! Turning off the washing machine 🔌
power on the freezer,"Alright, freezer is now on 👍"
power down the geyser,Got it! Powering down the geyser 🪟
run the robot vacuum,"Okay, robot vacuum is now off."
enable the speaker,"Okay, speaker is now off."
enable the fridge,Fridge turned off successfully!
shutdown the robot vacuum,Got it! Powering down the robot vacuum ❄️
stop the router,"Okay, router is now off."
activate the washing machine,"Okay, washing machine is now off."
power on the air conditioner,Starting the air conditioner as you wish 🪟
switch on the oven,"Alright, oven is now on 👍"
turn on the door,Sure thing! Turning on the door 💡
stop the fan,Fan turned off successfully!
enable the geyser,Geyser turned off successfully!
deactivate the alarm,"Okay, alarm is now off."
start the oven,"Deactivating the oven, all set."
deactivate the window,Window turned off successfully!
shutdown the fridge,Got it! Powering down the fridge 🔊
start the air purifier,"Deactivating the air purifier, all set."
initiate the alarm,Alarm turned off successfully!
halt the fan,Got it! Powering down the fan 📷
halt the water motor,Water motor turned off successfully!
initiate the light,"Deactivating the light, all set."
power on the light,"Okay, powering up the light!"
deactivate the tv,"Okay, tv is now off."
enable the hydroponic pump,"Okay, hydroponic pump is now off."
run the speaker,"Okay, speaker is now off."
activate the water motor,Got it! Powering down the water motor 😊
start the heater,Done! Turning off the heater 🔌
switch on the dishwasher,Sure thing! Turning on the dishwasher 💡
boot up the freezer,"Okay, freezer is now off."
switch on the water motor,"Okay, powering up the water motor!"
shutdown the fan,"Okay, fan is now off."
enable the robot vacuum,Done! Turning off the robot vacuum 🔌
turn off the freezer,Got it! Powering down the freezer 🪟
turn off the router,Done! Turning off the router 🔌
power on the toaster,Sure thing! Turning on the toaster 💡
switch on the dishwasher,Starting the dishwasher as you wish 💡
turn off the garage door,"Deactivating the garage door, all set."
disable the tv,"Deactivating the tv, all set."
halt the robot vacuum,"Deactivating the robot vacuum, all set."
stop the curtain,Got it! Powering down the curtain 🧺
activate the fridge,"Deactivating the fridge, all set."
boot up the garage door,Done! Turning off the garage door 🔌
halt the fridge,"Deactivating the fridge, all set."
disable the humidifier,"Okay, humidifier is now off."
boot up the toaster,Done! Turning off the toaster 🔌
switch on the washing machine,Sure thing! Turning on the washing machine 💡
switch on the door,Sure thing! Turning on the door 💡
activate the freezer,Freezer turned off successfully!
deactivate the router,"Deactivating the router, all set."
turn off the humidifier,"Deactivating the humidifier, all set."
deactivate the humidifier,"Okay, humidifier is now off."
shutdown the router,"Deactivating the router, all set."
shutdown the rice cooker,Done! Turning off the rice cooker 🔌
enable the router,"Okay, router is now off."
turn on the fan,Got it! Activating your fan 🔥
stop the heater,Got it! Powering down the heater ☕
power down the router,Done! Turning off the router 🔌
power on the alarm,"Okay, powering up the alarm!"
turn off the air purifier,Got it! Powering down the air purifier 🌱
stop the lamp,"Deactivating the lamp, all set."
turn off the heater,Heater turned off successfully!
start the fan,Got it! Powering down the fan 💡
turn off the dishwasher,"Deactivating the dishwasher, all set."
power on the curtain,Starting the curtain as you wish 😄
stop the washing machine,"Okay, washing machine is now off."
deactivate the tv,Tv turned off successfully!
switch on the air purifier,Got it! Activating your air purifier 🔥
switch off the tv,"Deactivating the tv, all set."
initiate the camera,"Okay, camera is now off."
switch on the dishwasher,Got it! Activating your dishwasher 📺
stop the router,"Okay, router is now off."
deactivate the water motor,Done! Turning off the water motor 🔌
switch off the geyser,"Deactivating the geyser, all set."
run the projector,"Okay, projector is now off."
power down the lamp,Lamp turned off successfully!
switch on the air purifier,"Alright, air purifier is now on 👍"
switch off the speaker,"Okay, speaker is now off."
enable the heater,"Okay, heater is now off."
switch on the door,Sure thing! Turning on the door 💡
switch on the fridge,Sure thing! Turning on the fridge 💡
shutdown the speaker,"Okay, speaker is now off."
boot up the coffee maker,Got it! Powering down the coffee maker ❄️
run the garage door,Got it! Powering down the garage door 🧺
disable the rice cooker,"Okay, rice cooker is now off."
turn on the microwave,"Alright, microwave is now on 👍"
turn on the geyser,"Alright, geyser is now on 👍"
switch off the heater,Heater turned off successfully!
deactivate the speaker,Done! Turning off the speaker 🔌
halt the lamp,"Okay, lamp is now off."
switch on the fan,"Okay, powering up the fan!"
start the water motor,"Okay, water motor is now off."
initiate the air purifier,Done! Turning off the air purifier 🔌
power down the window,"Okay, window is now off."
turn off the air conditioner,Got it! Powering down the air conditioner 😄
stop the air conditioner,"Okay, air conditioner is now off."
switch on the humidifier,Got it! Activating your humidifier ❄️
deactivate the router,Got it! Powering down the router 😊
disable the heater,Heater turned off successfully!
run the air conditioner,Air conditioner turned off successfully!
boot up the heater,Done! Turning off the heater 🔌
halt the freezer,"Okay, freezer is now off."
enable the fridge,Got it! Powering down the fridge 📷
deactivate the fan,"Deactivating the fan, all set."
start the air conditioner,Air conditioner turned off successfully!
start the freezer,"Okay, freezer is now off."
start the curtain,"Okay, curtain is now off."
stop the dishwasher,"Okay, dishwasher is now off."
run the light,Done! Turning off the light 🔌
power down the washing machine,Done! Turning off the washing machine 🔌
halt the alarm,"Deactivating the alarm, all set."
power down the fan,Fan turned off successfully!
disable the alarm,Done! Turning off the alarm 🔌
turn on the window,"Alright, window is now on 👍"
halt the hydroponic pump,"Deactivating the hydroponic pump, all set."
initiate the heater,Heater turned off successfully!
start the geyser,Geyser turned off successfully!
activate the curtain,"Okay, curtain is now off."
halt the camera,Got it! Powering down the camera 📺
stop the fan,Done! Turning off the fan 🔌
activate the washing machine,"Okay, washing machine is now off."
run the curtain,Got it! Powering down the curtain 🌤️
enable the oven,"Okay, oven is now off."
boot up the light,"Okay, light is now off."
activate the oven,"Deactivating the oven, all set."
initiate the robot vacuum,"Deactivating the robot vacuum, all set."
start the water motor,Done! Turning off the water motor 🔌
switch off the freezer,"Okay, freezer is now off."
initiate the water motor,Got it! Powering down the water motor ☕
boot up the lamp,Lamp turned off successfully!
enable the coffee maker,Got it! Powering down the coffee maker 💡
turn on the freezer,Sure thing! Turning on the freezer 💡
stop the humidifier,Humidifier turned off successfully!
boot up the speaker,Got it! Powering down the speaker ☕
shutdown the speaker,Got it! Powering down the speaker ☕
stop the rice cooker,Rice cooker turned off successfully!
turn off the door,Done! Turning off the door 🔌
stop the air conditioner,"Deactivating the air conditioner, all set."
switch off the water motor,"Deactivating the water motor, all set."
turn on the dishwasher,"Okay, powering up the dishwasher!"
run the rice cooker,Got it! Powering down the rice cooker ❄️
power down the toaster,Toaster turned off successfully!
stop the router,Router turned off successfully!
switch on the rice cooker,Sure thing! Turning on the rice cooker 💡
boot up the air purifier,"Okay, air purifier is now off."
turn off the window,Window turned off successfully!
enable the coffee maker,Coffee maker turned off successfully!
start the geyser,"Okay, geyser is now off."
power on the fan,Got it! Activating your fan 🚪
activate the fan,Fan turned off successfully!
turn on the robot vacuum,"Alright, robot vacuum is now on 👍"
turn off the rice cooker,"Okay, rice cooker is now off."
stop the fan,Done! Turning off the fan 🔌
turn off the robot vacuum,"Deactivating the robot vacuum, all set."
disable the oven,"Deactivating the oven, all set."
start the projector,"Deactivating the projector, all set."
disable the humidifier,Done! Turning off the humidifier 🔌
disable the speaker,"Deactivating the speaker, all set."
activate the fridge,"Okay, fridge is now off."
disable the light,"Okay, light is now off."
activate the hydroponic pump,Done! Turning off the hydroponic pump 🔌
halt the curtain,"Okay, curtain is now off."
enable the washing machine,"Okay, washing machine is now off."
halt the curtain,Got it! Powering down the curtain 🌤️
shutdown the fan,"Okay, fan is now off."
power on the air purifier,"Alright, air purifier is now on 👍"
boot up the projector,"Okay, projector is now off."
power down the rice cooker,Done! Turning off the rice cooker 🔌
stop the microwave,Done! Turning off the microwave 🔌
turn off the heater,Done! Turning off the heater 🔌
turn on the air conditioner,Sure thing! Turning on the air conditioner 💡
power down the fridge,Done! Turning off the fridge 🔌
shutdown the robot vacuum,Done! Turning off the robot vacuum 🔌
power on the heater,Got it! Activating your heater 🔊
run the window,Done! Turning off the window 🔌
shutdown the fan,Fan turned off successfully!
stop the alarm,Done! Turning off the alarm 🔌
activate the microwave,Got it! Powering down the microwave 👍
initiate the robot vacuum,"Okay, robot vacuum is now off."
shutdown the fridge,"Okay, fridge is now off."
disable the air purifier,Done! Turning off the air purifier 🔌
start the projector,Got it! Powering down the projector 😄
boot up the air conditioner,Got it! Powering down the air conditioner ☕
switch off the robot vacuum,Done! Turning off the robot vacuum 🔌
disable the garage door,"Deactivating the garage door, all set."
deactivate the fan,"Okay, fan is now off."
initiate the alarm,"Okay, alarm is now off."
shutdown the window,Window turned off successfully!
shutdown the door,Door turned off successfully!
disable the hydroponic pump,"Deactivating the hydroponic pump, all set."
turn off the rice cooker,"Okay, rice cooker is now off."
start the hydroponic pump,Got it! Powering down the hydroponic pump 📷
activate the air purifier,"Deactivating the air purifier, all set."
run the light,"Okay, light is now off."
power on the robot vacuum,"Okay, powering up the robot vacuum!"
run the garage door,Done! Turning off the garage door 🔌
deactivate the toaster,Done! Turning off the toaster 🔌
turn off the robot vacuum,Got it! Powering down the robot vacuum 🔥
turn off the curtain,"Okay, curtain is now off."
enable the fridge,"Deactivating the fridge, all set."
turn off the hydroponic pump,Hydroponic pump turned off successfully!
start the dishwasher,Dishwasher turned off successfully!
halt the fan,Fan turned off successfully!
initiate the freezer,Done! Turning off the freezer 🔌
start the air conditioner,Air conditioner turned off successfully!
