input_text,reply_text
power down the dim light,turning off the dim light.
switch on the phone charger,okay turning on the phone charger.
deactivate the phone charger,"okay, deactivating the phone charger."
power down the phone charger,"done, phone charger is off."
activate the dim light,okay turning on the dim light.
enable the door sensor,sure! activating the door sensor.
turn on the phone charger,sure! activating the phone charger.
turn off the dim light,turning off the dim light.
power down the cctv camera,turning off the cctv camera.
turn off the aquarium filter,turning off the aquarium filter.
power on the dim light,"done, dim light is now on."
switch on the light,okay turning on the light.
start the phone charger,okay turning on the phone charger.
deactivate the aquarium filter,"done, aquarium filter is off."
switch off the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
disable the cctv camera,"okay, deactivating the cctv camera."
turn off the curtain,"done, curtain is off."
switch off the dim light,"done, dim light is off."
switch off the light,turning off the light.
activate the refrigerator,"done, refrigerator is now on."
activate the dim light,sure! activating the dim light.
power on the dim light,okay turning on the dim light.
turn off the hydroponic farm motor,"done, hydroponic farm motor is off."
power down the door sensor,turning off the door sensor.
turn on the dim light,"done, dim light is now on."
disable the dim light,turning off the dim light.
deactivate the fan,turning off the fan.
switch on the cctv camera,sure! activating the cctv camera.
activate the fan,okay turning on the fan.
enable the light,"done, light is now on."
deactivate the door sensor,"okay, deactivating the door sensor."
power down the light,turning off the light.
turn on the light,sure! activating the light.
switch on the fan,okay turning on the fan.
enable the fan,"done, fan is now on."
turn off the hydroponic farm motor,turning off the hydroponic farm motor.
switch off the door sensor,turning off the door sensor.
turn on the phone charger,okay turning on the phone charger.
start the hydroponic farm motor,okay turning on the hydroponic farm motor.
power down the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
enable the aquarium filter,sure! activating the aquarium filter.
turn off the light,"okay, deactivating the light."
start the cctv camera,sure! activating the cctv camera.
stop the dim light,"done, dim light is off."
disable the hydroponic farm motor,"done, hydroponic farm motor is off."
switch off the curtain,turning off the curtain.
disable the dim light,"done, dim light is off."
switch off the fan,turning off the fan.
turn on the curtain,"done, curtain is now on."
activate the curtain,"done, curtain is now on."
power down the aquarium filter,turning off the aquarium filter.
is the fan on,the fan is currently on.
power down the dim light,"okay, deactivating the dim light."
turn off the curtain,"done, curtain is off."
activate the curtain,sure! activating the curtain.
start the refrigerator,"done, refrigerator is now on."
stop the refrigerator,turning off the refrigerator.
turn off the fan,turning off the fan.
turn on the cctv camera,"done, cctv camera is now on."
start the hydroponic farm motor,okay turning on the hydroponic farm motor.
switch off the aquarium filter,"okay, deactivating the aquarium filter."
turn on the cctv camera,okay turning on the cctv camera.
disable the aquarium filter,"okay, deactivating the aquarium filter."
switch on the door sensor,sure! activating the door sensor.
activate the refrigerator,okay turning on the refrigerator.
disable the curtain,"done, curtain is off."
turn off the dim light,"done, dim light is off."
start the aquarium filter,sure! activating the aquarium filter.
disable the dim light,"done, dim light is off."
power on the hydroponic farm motor,"done, hydroponic farm motor is now on."
switch on the light,"done, light is now on."
power on the door sensor,"done, door sensor is now on."
deactivate the curtain,"okay, deactivating the curtain."
deactivate the door sensor,turning off the door sensor.
start the dim light,sure! activating the dim light.
stop the fan,"done, fan is off."
start the door sensor,okay turning on the door sensor.
stop the door sensor,"okay, deactivating the door sensor."
start the dim light,"done, dim light is now on."
activate the hydroponic farm motor,"done, hydroponic farm motor is now on."
switch on the dim light,"done, dim light is now on."
stop the phone charger,"okay, deactivating the phone charger."
stop the light,turning off the light.
activate the refrigerator,okay turning on the refrigerator.
stop the curtain,"done, curtain is off."
power down the aquarium filter,turning off the aquarium filter.
deactivate the phone charger,"done, phone charger is off."
activate the cctv camera,"done, cctv camera is now on."
deactivate the aquarium filter,turning off the aquarium filter.
stop the door sensor,turning off the door sensor.
turn off the light,turning off the light.
turn off the dim light,"done, dim light is off."
turn on the fan,"done, fan is now on."
enable the fan,"done, fan is now on."
activate the light,sure! activating the light.
stop the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
turn off the curtain,"done, curtain is off."
enable the hydroponic farm motor,okay turning on the hydroponic farm motor.
disable the cctv camera,turning off the cctv camera.
power down the light,"okay, deactivating the light."
power down the light,"okay, deactivating the light."
activate the cctv camera,"done, cctv camera is now on."
turn on the cctv camera,"done, cctv camera is now on."
activate the refrigerator,sure! activating the refrigerator.
deactivate the fan,turning off the fan.
start the fan,sure! activating the fan.
deactivate the door sensor,turning off the door sensor.
disable the fan,turning off the fan.
disable the hydroponic farm motor,turning off the hydroponic farm motor.
turn on the refrigerator,"done, refrigerator is now on."
deactivate the dim light,"okay, deactivating the dim light."
disable the light,"okay, deactivating the light."
enable the aquarium filter,okay turning on the aquarium filter.
turn on the hydroponic farm motor,okay turning on the hydroponic farm motor.
turn off the light,turning off the light.
disable the dim light,"okay, deactivating the dim light."
disable the door sensor,turning off the door sensor.
switch on the dim light,okay turning on the dim light.
deactivate the dim light,turning off the dim light.
activate the phone charger,okay turning on the phone charger.
start the light,"done, light is now on."
stop the refrigerator,"okay, deactivating the refrigerator."
power on the cctv camera,sure! activating the cctv camera.
switch off the refrigerator,"done, refrigerator is off."
disable the dim light,turning off the dim light.
disable the curtain,turning off the curtain.
turn off the phone charger,"done, phone charger is off."
disable the cctv camera,turning off the cctv camera.
switch off the light,"done, light is off."
stop the cctv camera,"okay, deactivating the cctv camera."
stop the curtain,"done, curtain is off."
enable the refrigerator,"done, refrigerator is now on."
power down the dim light,turning off the dim light.
switch off the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
power down the light,turning off the light.
stop the aquarium filter,turning off the aquarium filter.
stop the refrigerator,"done, refrigerator is off."
switch on the hydroponic farm motor,sure! activating the hydroponic farm motor.
power down the door sensor,"done, door sensor is off."
power on the phone charger,"done, phone charger is now on."
start the cctv camera,okay turning on the cctv camera.
turn off the aquarium filter,"okay, deactivating the aquarium filter."
activate the hydroponic farm motor,"done, hydroponic farm motor is now on."
stop the phone charger,"okay, deactivating the phone charger."
turn on the phone charger,okay turning on the phone charger.
disable the light,"done, light is off."
power on the curtain,okay turning on the curtain.
start the curtain,okay turning on the curtain.
power on the refrigerator,sure! activating the refrigerator.
power down the fan,turning off the fan.
switch on the aquarium filter,okay turning on the aquarium filter.
disable the aquarium filter,turning off the aquarium filter.
turn off the dim light,"done, dim light is off."
deactivate the fan,"done, fan is off."
start the curtain,"done, curtain is now on."
enable the cctv camera,okay turning on the cctv camera.
power on the fan,"done, fan is now on."
power on the door sensor,okay turning on the door sensor.
turn off the phone charger,"done, phone charger is off."
stop the dim light,turning off the dim light.
disable the refrigerator,turning off the refrigerator.
disable the refrigerator,"okay, deactivating the refrigerator."
power down the light,turning off the light.
activate the aquarium filter,okay turning on the aquarium filter.
stop the door sensor,"done, door sensor is off."
deactivate the light,"done, light is off."
turn off the cctv camera,"okay, deactivating the cctv camera."
start the refrigerator,sure! activating the refrigerator.
power on the curtain,okay turning on the curtain.
switch off the refrigerator,turning off the refrigerator.
start the light,sure! activating the light.
start the hydroponic farm motor,"done, hydroponic farm motor is now on."
activate the dim light,sure! activating the dim light.
switch off the dim light,"okay, deactivating the dim light."
power down the curtain,"done, curtain is off."
deactivate the curtain,turning off the curtain.
switch off the curtain,"done, curtain is off."
disable the curtain,turning off the curtain.
deactivate the phone charger,"done, phone charger is off."
turn on the refrigerator,okay turning on the refrigerator.
activate the aquarium filter,okay turning on the aquarium filter.
deactivate the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
turn on the door sensor,"done, door sensor is now on."
power down the cctv camera,turning off the cctv camera.
stop the fan,"okay, deactivating the fan."
power down the cctv camera,"okay, deactivating the cctv camera."
switch off the door sensor,"done, door sensor is off."
switch off the aquarium filter,"done, aquarium filter is off."
activate the curtain,"done, curtain is now on."
switch on the light,okay turning on the light.
power on the light,okay turning on the light.
start the dim light,sure! activating the dim light.
turn on the light,sure! activating the light.
turn on the light,sure! activating the light.
stop the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
start the hydroponic farm motor,okay turning on the hydroponic farm motor.
start the curtain,okay turning on the curtain.
power on the aquarium filter,okay turning on the aquarium filter.
turn off the aquarium filter,turning off the aquarium filter.
deactivate the refrigerator,turning off the refrigerator.
start the light,okay turning on the light.
stop the cctv camera,"okay, deactivating the cctv camera."
activate the phone charger,okay turning on the phone charger.
deactivate the door sensor,"okay, deactivating the door sensor."
start the hydroponic farm motor,okay turning on the hydroponic farm motor.
switch off the cctv camera,"done, cctv camera is off."
power on the light,"done, light is now on."
start the curtain,"done, curtain is now on."
disable the aquarium filter,turning off the aquarium filter.
enable the dim light,sure! activating the dim light.
disable the fan,"okay, deactivating the fan."
switch off the fan,"okay, deactivating the fan."
stop the hydroponic farm motor,turning off the hydroponic farm motor.
activate the cctv camera,"done, cctv camera is now on."
turn on the aquarium filter,okay turning on the aquarium filter.
stop the dim light,"okay, deactivating the dim light."
activate the fan,"done, fan is now on."
power down the light,"okay, deactivating the light."
stop the curtain,turning off the curtain.
enable the light,"done, light is now on."
activate the door sensor,"done, door sensor is now on."
turn on the light,sure! activating the light.
stop the cctv camera,turning off the cctv camera.
stop the door sensor,"done, door sensor is off."
start the door sensor,sure! activating the door sensor.
disable the aquarium filter,turning off the aquarium filter.
switch on the dim light,sure! activating the dim light.
switch off the cctv camera,turning off the cctv camera.
turn on the door sensor,okay turning on the door sensor.
how’s the aquarium filter,checking aquarium filter status...
power down the refrigerator,turning off the refrigerator.
activate the fan,sure! activating the fan.
deactivate the light,turning off the light.
stop the cctv camera,turning off the cctv camera.
power on the hydroponic farm motor,"done, hydroponic farm motor is now on."
enable the light,okay turning on the light.
power on the fan,"done, fan is now on."
power down the light,turning off the light.
power on the phone charger,"done, phone charger is now on."
start the door sensor,"done, door sensor is now on."
switch on the refrigerator,okay turning on the refrigerator.
switch on the hydroponic farm motor,"done, hydroponic farm motor is now on."
enable the light,okay turning on the light.
start the curtain,sure! activating the curtain.
power down the light,"okay, deactivating the light."
start the cctv camera,"done, cctv camera is now on."
disable the light,"okay, deactivating the light."
stop the light,"done, light is off."
start the hydroponic farm motor,"done, hydroponic farm motor is now on."
power down the phone charger,turning off the phone charger.
power down the phone charger,"okay, deactivating the phone charger."
disable the door sensor,turning off the door sensor.
turn off the curtain,turning off the curtain.
deactivate the aquarium filter,"done, aquarium filter is off."
stop the phone charger,turning off the phone charger.
stop the light,turning off the light.
turn off the curtain,turning off the curtain.
switch off the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
enable the dim light,sure! activating the dim light.
power on the cctv camera,"done, cctv camera is now on."
stop the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
deactivate the fan,"done, fan is off."
enable the door sensor,sure! activating the door sensor.
power on the aquarium filter,okay turning on the aquarium filter.
deactivate the hydroponic farm motor,"done, hydroponic farm motor is off."
disable the curtain,"okay, deactivating the curtain."
enable the door sensor,"done, door sensor is now on."
disable the phone charger,"done, phone charger is off."
start the cctv camera,"done, cctv camera is now on."
switch on the aquarium filter,okay turning on the aquarium filter.
stop the fan,"okay, deactivating the fan."
turn off the cctv camera,"done, cctv camera is off."
switch off the cctv camera,"okay, deactivating the cctv camera."
disable the refrigerator,turning off the refrigerator.
switch on the phone charger,okay turning on the phone charger.
switch on the cctv camera,okay turning on the cctv camera.
start the aquarium filter,"done, aquarium filter is now on."
start the curtain,okay turning on the curtain.
turn off the door sensor,"okay, deactivating the door sensor."
power on the light,okay turning on the light.
disable the hydroponic farm motor,turning off the hydroponic farm motor.
enable the cctv camera,"done, cctv camera is now on."
power on the curtain,okay turning on the curtain.
enable the light,sure! activating the light.
switch on the aquarium filter,"done, aquarium filter is now on."
start the light,sure! activating the light.
power down the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
turn on the phone charger,okay turning on the phone charger.
switch on the curtain,okay turning on the curtain.
disable the fan,"done, fan is off."
switch on the phone charger,"done, phone charger is now on."
deactivate the phone charger,"okay, deactivating the phone charger."
switch on the curtain,okay turning on the curtain.
power down the cctv camera,"okay, deactivating the cctv camera."
switch on the door sensor,okay turning on the door sensor.
power on the fan,sure! activating the fan.
turn on the fan,sure! activating the fan.
turn on the door sensor,okay turning on the door sensor.
switch on the light,okay turning on the light.
switch on the dim light,okay turning on the dim light.
turn off the dim light,"okay, deactivating the dim light."
turn on the dim light,okay turning on the dim light.
power on the aquarium filter,"done, aquarium filter is now on."
start the dim light,okay turning on the dim light.
power down the dim light,"okay, deactivating the dim light."
enable the cctv camera,okay turning on the cctv camera.
deactivate the fan,"okay, deactivating the fan."
switch off the refrigerator,"done, refrigerator is off."
switch off the fan,"done, fan is off."
turn on the curtain,sure! activating the curtain.
enable the phone charger,sure! activating the phone charger.
turn on the dim light,sure! activating the dim light.
disable the refrigerator,"okay, deactivating the refrigerator."
switch on the hydroponic farm motor,"done, hydroponic farm motor is now on."
stop the fan,"done, fan is off."
start the hydroponic farm motor,sure! activating the hydroponic farm motor.
power down the phone charger,"okay, deactivating the phone charger."
activate the hydroponic farm motor,"done, hydroponic farm motor is now on."
disable the fan,turning off the fan.
switch on the cctv camera,"done, cctv camera is now on."
start the refrigerator,sure! activating the refrigerator.
stop the curtain,"done, curtain is off."
turn off the aquarium filter,"done, aquarium filter is off."
switch on the refrigerator,"done, refrigerator is now on."
activate the light,sure! activating the light.
power on the dim light,"done, dim light is now on."
stop the phone charger,"done, phone charger is off."
disable the fan,turning off the fan.
start the dim light,okay turning on the dim light.
power down the phone charger,"okay, deactivating the phone charger."
turn off the curtain,"okay, deactivating the curtain."
disable the fan,"done, fan is off."
switch off the fan,turning off the fan.
enable the phone charger,okay turning on the phone charger.
turn on the dim light,sure! activating the dim light.
activate the light,okay turning on the light.
power down the refrigerator,"done, refrigerator is off."
start the light,sure! activating the light.
switch on the dim light,"done, dim light is now on."
switch on the refrigerator,"done, refrigerator is now on."
turn off the door sensor,turning off the door sensor.
switch off the light,turning off the light.
disable the dim light,turning off the dim light.
switch on the light,okay turning on the light.
thank you,you’re welcome!
enable the door sensor,sure! activating the door sensor.
power on the phone charger,"done, phone charger is now on."
turn on the aquarium filter,okay turning on the aquarium filter.
switch on the cctv camera,okay turning on the cctv camera.
start the refrigerator,"done, refrigerator is now on."
turn off the dim light,"okay, deactivating the dim light."
switch off the aquarium filter,"okay, deactivating the aquarium filter."
enable the refrigerator,"done, refrigerator is now on."
turn off the cctv camera,"okay, deactivating the cctv camera."
start the curtain,sure! activating the curtain.
start the door sensor,"done, door sensor is now on."
power on the curtain,okay turning on the curtain.
switch on the cctv camera,sure! activating the cctv camera.
start the cctv camera,"done, cctv camera is now on."
turn on the curtain,okay turning on the curtain.
turn on the cctv camera,sure! activating the cctv camera.
enable the door sensor,okay turning on the door sensor.
switch off the curtain,"done, curtain is off."
power down the door sensor,"done, door sensor is off."
start the curtain,sure! activating the curtain.
start the hydroponic farm motor,"done, hydroponic farm motor is now on."
enable the aquarium filter,"done, aquarium filter is now on."
turn off the door sensor,"done, door sensor is off."
power down the dim light,"okay, deactivating the dim light."
start the hydroponic farm motor,sure! activating the hydroponic farm motor.
switch on the cctv camera,sure! activating the cctv camera.
deactivate the light,"okay, deactivating the light."
enable the refrigerator,sure! activating the refrigerator.
deactivate the refrigerator,"okay, deactivating the refrigerator."
enable the door sensor,okay turning on the door sensor.
turn on the cctv camera,sure! activating the cctv camera.
deactivate the dim light,turning off the dim light.
disable the light,turning off the light.
power on the dim light,okay turning on the dim light.
disable the phone charger,turning off the phone charger.
start the curtain,okay turning on the curtain.
deactivate the refrigerator,turning off the refrigerator.
power on the light,okay turning on the light.
switch on the door sensor,sure! activating the door sensor.
disable the cctv camera,"done, cctv camera is off."
disable the refrigerator,turning off the refrigerator.
turn on the fan,sure! activating the fan.
turn on the light,sure! activating the light.
start the phone charger,okay turning on the phone charger.
power down the hydroponic farm motor,turning off the hydroponic farm motor.
stop the phone charger,"done, phone charger is off."
enable the aquarium filter,okay turning on the aquarium filter.
switch on the aquarium filter,okay turning on the aquarium filter.
power on the curtain,sure! activating the curtain.
activate the hydroponic farm motor,"done, hydroponic farm motor is now on."
disable the door sensor,"done, door sensor is off."
activate the light,okay turning on the light.
enable the phone charger,okay turning on the phone charger.
switch on the hydroponic farm motor,sure! activating the hydroponic farm motor.
deactivate the curtain,"done, curtain is off."
activate the light,sure! activating the light.
turn on the light,"done, light is now on."
switch off the fan,turning off the fan.
power down the fan,turning off the fan.
stop the aquarium filter,turning off the aquarium filter.
deactivate the dim light,"done, dim light is off."
deactivate the phone charger,turning off the phone charger.
stop the cctv camera,"done, cctv camera is off."
disable the curtain,"done, curtain is off."
switch on the hydroponic farm motor,sure! activating the hydroponic farm motor.
switch off the curtain,"done, curtain is off."
stop the fan,turning off the fan.
enable the refrigerator,okay turning on the refrigerator.
disable the curtain,turning off the curtain.
switch off the curtain,"okay, deactivating the curtain."
switch on the aquarium filter,okay turning on the aquarium filter.
deactivate the fan,"okay, deactivating the fan."
enable the refrigerator,sure! activating the refrigerator.
stop the dim light,"okay, deactivating the dim light."
stop the door sensor,turning off the door sensor.
disable the fan,turning off the fan.
power on the fan,"done, fan is now on."
power on the light,"done, light is now on."
start the cctv camera,sure! activating the cctv camera.
switch on the aquarium filter,okay turning on the aquarium filter.
power on the cctv camera,okay turning on the cctv camera.
activate the light,"done, light is now on."
stop the curtain,"okay, deactivating the curtain."
enable the dim light,"done, dim light is now on."
power on the dim light,sure! activating the dim light.
turn off the refrigerator,"done, refrigerator is off."
power down the aquarium filter,turning off the aquarium filter.
turn off the dim light,turning off the dim light.
disable the fan,"okay, deactivating the fan."
stop the hydroponic farm motor,turning off the hydroponic farm motor.
power on the cctv camera,okay turning on the cctv camera.
power down the fan,"done, fan is off."
turn off the aquarium filter,turning off the aquarium filter.
turn on the light,sure! activating the light.
stop the curtain,"done, curtain is off."
turn off the phone charger,turning off the phone charger.
deactivate the fan,"okay, deactivating the fan."
turn on the cctv camera,okay turning on the cctv camera.
deactivate the cctv camera,turning off the cctv camera.
turn on the light,"done, light is now on."
switch on the dim light,"done, dim light is now on."
switch off the aquarium filter,turning off the aquarium filter.
start the hydroponic farm motor,sure! activating the hydroponic farm motor.
switch on the door sensor,sure! activating the door sensor.
switch off the light,"okay, deactivating the light."
disable the door sensor,"okay, deactivating the door sensor."
power down the light,turning off the light.
enable the phone charger,sure! activating the phone charger.
stop the light,"done, light is off."
disable the refrigerator,"okay, deactivating the refrigerator."
enable the light,sure! activating the light.
enable the hydroponic farm motor,okay turning on the hydroponic farm motor.
power down the cctv camera,"done, cctv camera is off."
activate the phone charger,okay turning on the phone charger.
switch off the fan,"done, fan is off."
activate the phone charger,"done, phone charger is now on."
enable the cctv camera,sure! activating the cctv camera.
disable the fan,"okay, deactivating the fan."
power on the dim light,okay turning on the dim light.
enable the curtain,"done, curtain is now on."
turn off the dim light,"done, dim light is off."
deactivate the light,turning off the light.
activate the fan,okay turning on the fan.
turn off the dim light,"done, dim light is off."
power down the curtain,"done, curtain is off."
switch off the phone charger,"done, phone charger is off."
stop the light,turning off the light.
power on the door sensor,okay turning on the door sensor.
turn on the aquarium filter,"done, aquarium filter is now on."
start the fan,"done, fan is now on."
switch off the fan,"okay, deactivating the fan."
deactivate the fan,"okay, deactivating the fan."
turn on the hydroponic farm motor,sure! activating the hydroponic farm motor.
enable the light,sure! activating the light.
disable the refrigerator,turning off the refrigerator.
switch off the phone charger,turning off the phone charger.
power on the fan,okay turning on the fan.
switch off the curtain,"okay, deactivating the curtain."
switch on the aquarium filter,"done, aquarium filter is now on."
start the door sensor,okay turning on the door sensor.
enable the cctv camera,okay turning on the cctv camera.
power on the aquarium filter,sure! activating the aquarium filter.
switch on the dim light,sure! activating the dim light.
start the door sensor,"done, door sensor is now on."
power down the aquarium filter,"okay, deactivating the aquarium filter."
power on the hydroponic farm motor,"done, hydroponic farm motor is now on."
deactivate the fan,"okay, deactivating the fan."
power down the phone charger,turning off the phone charger.
power down the curtain,turning off the curtain.
turn off the refrigerator,turning off the refrigerator.
switch on the aquarium filter,okay turning on the aquarium filter.
switch off the aquarium filter,turning off the aquarium filter.
power on the refrigerator,"done, refrigerator is now on."
disable the curtain,"okay, deactivating the curtain."
switch off the hydroponic farm motor,"done, hydroponic farm motor is off."
power on the aquarium filter,sure! activating the aquarium filter.
what is the status of the curtain,the curtain is currently off.
enable the light,sure! activating the light.
turn on the dim light,okay turning on the dim light.
disable the fan,turning off the fan.
switch off the aquarium filter,"done, aquarium filter is off."
disable the curtain,"okay, deactivating the curtain."
power down the dim light,"done, dim light is off."
deactivate the hydroponic farm motor,"okay, deactivating the hydroponic farm motor."
power on the fan,"done, fan is now on."
start the hydroponic farm motor,okay turning on the hydroponic farm motor.
turn on the refrigerator,sure! activating the refrigerator.
power on the hydroponic farm motor,sure! activating the hydroponic farm motor.
deactivate the light,"done, light is off."
turn on the refrigerator,okay turning on the refrigerator.
power on the fan,"done, fan is now on."
switch off the curtain,"done, curtain is off."
turn on the hydroponic farm motor,okay turning on the hydroponic farm motor.
deactivate the curtain,turning off the curtain.
turn on the fan,sure! activating the fan.
power on the cctv camera,sure! activating the cctv camera.
disable the door sensor,"done, door sensor is off."
stop the cctv camera,turning off the cctv camera.
stop the phone charger,turning off the phone charger.
start the hydroponic farm motor,"done, hydroponic farm motor is now on."
start the light,"done, light is now on."
deactivate the fan,turning off the fan.
power on the curtain,"done, curtain is now on."
disable the aquarium filter,turning off the aquarium filter.
start the cctv camera,okay turning on the cctv camera.
power on the cctv camera,sure! activating the cctv camera.
switch off the aquarium filter,"okay, deactivating the aquarium filter."
power on the hydroponic farm motor,"done, hydroponic farm motor is now on."
enable the light,"done, light is now on."
start the hydroponic farm motor,sure! activating the hydroponic farm motor.
turn off the light,"done, light is off."
power on the hydroponic farm motor,"done, hydroponic farm motor is now on."
turn on the refrigerator,sure! activating the refrigerator.
disable the dim light,turning off the dim light.
turn off the aquarium filter,"done, aquarium filter is off."
switch off the phone charger,"okay, deactivating the phone charger."
switch on the cctv camera,sure! activating the cctv camera.
activate the curtain,"done, curtain is now on."
activate the refrigerator,okay turning on the refrigerator.
power down the fan,turning off the fan.
activate the door sensor,"done, door sensor is now on."
deactivate the door sensor,"okay, deactivating the door sensor."
deactivate the refrigerator,"done, refrigerator is off."
switch off the curtain,"okay, deactivating the curtain."
enable the door sensor,"done, door sensor is now on."
switch off the dim light,"okay, deactivating the dim light."
power down the door sensor,"okay, deactivating the door sensor."
deactivate the light,"done, light is off."
